"Segment"	"en-ZZ"	"nl-NL"	"ID"	"File"
"4778"	"Click on a choice and then type an explanation to answer the question."	"Beantwoord de vraag door één van de opties aan te klikken en typ vervolgens je uitleg."	"q3MA158_question_q3itemDirections_5c9d21657e1f71.24263233_1_0"	"PISA_nld-NLD_MAT_MA158-EyeColour_en21_MS2022.xlf"
"4578"	"A"	"Z"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_nld-NLD_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4486"	"&lt;br /&gt;"	"&lt;br/&gt;"	"question00_1_itemTitle00_5c9d2137444e90.30242232_1_0"	"PISA_nld-NLD_MAT_MA153-Gears_en21_MS2022.xlf"
"2732"	"Click on the choices in the table to answer the question."	"Beantwoord de vraag door één van de opties in de tabel aan te klikken."	"MA130_question02_itemDirectionsQ02_5c9d214b8c2531.90987341_1_0"	"PISA_nld-NLD_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"3470"	"Select"	"Kiezen"	"q2CMA137_question_q1C0_5c9d216470b966.73073198_0"	"PISA_nld-NLD_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"5341"	"&lt;br /&gt;"	"&lt;br/&gt;"	"q2MA161_question_q2itemTitle_5c9d2137d31374.43372393_1_0"	"PISA_nld-NLD_MAT_MA162-UrbanPopulation_en21_MS2022.xlf"
"588"	"&lt;br /&gt;"	"&lt;br/&gt;"	"MA108q02_question_q02itemTitle_5c9d2136c1ee70.16923629_1_0"	"PISA_nld-NLD_MAT_MA108-Fountains_en21_MS2022.xlf"
"4531"	"&lt;br /&gt;"	"&lt;br/&gt;"	"MA153_questionS3_S3itemTitle_5c9d2137480966.69749156_1_0"	"PISA_nld-NLD_MAT_MA153-Gears_en21_MS2022.xlf"
"387"	"&lt;br /&gt;"	"&lt;br/&gt;"	"M105_question2_itemTitle2_5c9d213670bf89.72346167_1_0"	"PISA_nld-NLD_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"1130"	"Click on the choices in the table to answer the question."	"Beantwoord de vraag door één van de opties in de tabel aan te klikken."	"Q02MA113_question_Q02itemDirections_5c9d214a6c39e7.02495684_1_0"	"PISA_nld-NLD_MAT_MA113-HeartRate_en21_MS2022.xlf"
"3188"	"Select"	"Kiezen"	"Q1MA134_question_Q01tr1td1SELECT1o0_5c9d2164317ac7.89754540_0"	"PISA_nld-NLD_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"2051"	"&lt;br /&gt;"	"&lt;br/&gt;"	"MA125_question1_q1itemTitle_5c9d2137097710.90755295_1_0"	"PISA_nld-NLD_MAT_MA125-PaintingARoom_en21_MS2022.xlf"
"4913"	"&lt;br /&gt;"	"&lt;br/&gt;"	"q2MA160_question_q2itemTitle_5c9d21377dc695.33346111_1_0"	"PISA_nld-NLD_MAT_MA160-UniversityStudentEmployment_en21_MS2022.xlf"
